Date,At&t,Xom,BA,Wmt,Wix
12/5/2016,38.630001,87.480003,152.160004,69.940002,48.400002
12/6/2016,39.349998,87.559998,152.240005,70.360001,48.049999
12/7/2016,40.450001,88.07,154.139999,70.599998,47.900002
12/8/2016,40.41,88.32,155.389999,70.339996,47.849998
12/9/2016,40.380001,89,156.490005,70.080002,46.900002
12/12/2016,41.119999,90.980003,157.160004,71.669998,44.799999
12/13/2016,41.360001,92.580002,156.660004,71.800003,44.049999
12/14/2016,41.099998,90.580002,154.470001,71.339996,44.099998
12/15/2016,41.5,90.889999,153.770004,71.080002,44.799999
12/16/2016,41.669998,91.18,154.5,70.980003,44.299999
12/19/2016,42.119999,90.419998,156.179993,71.580002,43.450001
12/20/2016,42.470001,90.43,156.389999,71.82,43.75
12/21/2016,42.360001,90.279999,157.479996,71.239998,43.5
12/22/2016,42.720001,90.870003,157.460007,69.589996,43.349998
12/23/2016,42.73,90.709999,157.809998,69.540001,43.549999
12/27/2016,42.650002,90.75,157.479996,69.699997,43.650002
12/28/2016,42.52,90.300003,156.100006,69.309998,43.349998
12/29/2016,42.66,90.349998,155.690002,69.260002,44.75
12/30/2016,42.529999,90.260002,155.679993,69.120003,44.549999
1/3/2017,43.02,90.889999,156.970001,68.660004,44.950001
1/4/2017,42.77,89.889999,158.619995,69.059998,46.200001
1/5/2017,42.650002,88.550003,158.710007,69.209999,47
1/6/2017,41.32,88.5,159.100006,68.260002,47.450001
1/9/2017,40.799999,87.040001,158.320007,68.709999,47.900002
1/10/2017,40.810001,85.93,159.070007,68.230003,48.5
1/11/2017,40.610001,86.809998,159.399994,68.529999,51
1/12/2017,41.009998,86.339996,158.289993,67.970001,50.349998
1/13/2017,40.959999,86.349998,158.830002,67.129997,50.650002
1/17/2017,41.110001,87.360001,157.669998,68.419998,51.049999
1/18/2017,40.799999,86.279999,158.320007,68.110001,52.5
1/19/2017,41,84.730003,159,67.620003,54.049999
1/20/2017,41.450001,85.889999,159.529999,67.18,53.450001
1/23/2017,42,84.970001,157.839996,66.650002,53.75
1/24/2017,41.360001,85.089996,160.550003,67.400002,55.299999
1/25/2017,41.389999,85.339996,167.360001,66.889999,56.200001
1/26/2017,41.77,85.599998,169.119995,66.730003,55.049999
1/27/2017,42.009998,85.510002,167.699997,65.660004,54.700001
1/30/2017,41.82,84.860001,165.570007,66.419998,53.25
1/31/2017,42.16,83.889999,163.419998,66.739998,52.549999
2/1/2017,42.060001,82.940002,163.970001,66.230003,52.25
2/2/2017,41.18,83.449997,162.259995,66.699997,51.450001
2/3/2017,41.25,83.540001,162.399994,66.5,52.200001
2/6/2017,41.060001,83.309998,163.979996,66.400002,51.900002
2/7/2017,41.119999,82.769997,166.5,66.889999,51.900002
2/8/2017,41.209999,81.480003,163.809998,67.809998,52.849998
2/9/2017,41.310001,81.839996,164.279999,69.080002,54.349998
2/10/2017,41.380001,82.519997,166.229996,68.019997,53.349998
2/13/2017,40.650002,83,168.029999,67.769997,52.950001
2/14/2017,40.75,82.82,168.5,68.660004,52.950001
2/15/2017,41.119999,83.160004,169.300003,68.690002,61.5
2/16/2017,41.25,82.300003,170.809998,68.870003,62.950001
2/17/2017,41.48,81.760002,172.710007,69.370003,63.849998
2/21/2017,41.73,81.889999,175.559998,71.449997,65.550003
2/22/2017,41.59,80.93,175.360001,71.709999,65.550003
2/23/2017,41.950001,81.779999,176.860001,71.309998,63.25
2/24/2017,42.360001,81.080002,177.440002,72.389999,65.050003
